show_id,type,title,director,cast,country,date_added,release_year,duration,description,genre
s00186,TV Show,Undercover,Steven Spielberg,Actor B,Canada,10/18/2021,2013,5 Season(s),An action-packed thriller.,"Documentary, Thriller, Sci-Fi"
s00187,Movie,Neon Nights 1057,Steven Spielberg,"Actor D, Actor B",United States,4/17/2018,1983,91,A heartwarming story of friendship.,"Drama, Thriller, Horror"
s00188,Movie,Mountain Echo 879,nan,,Germany,7/2/2016,2006,65,An intense drama about life choices.,"Drama, Sci-Fi, Documentary"
s00189,Movie,Urban Legends 1952,John Smith,"Actor C, Actor E",United States,3/19/2014,2017,127,A mystery that will keep you guessing.,"Documentary, Drama, Comedy"
s00190,Movie,Final Frontier 459,nan,"Actor D, Actor A",South Korea,4/24/2015,1968,81,A comedy that will make you laugh.,"Comedy, Drama"
s00191,TV Show,Tech Wars,David Lee,,United Kingdom,11/11/2020,2021,3 Season(s),A romantic tale set in a distant land.,"Thriller, Romance"
s00192,TV Show,Legal Minds,David Lee,"Actor E, Actor D",United States,1/22/2018,1993,6 Season(s),An intense drama about life choices.,"Documentary, Comedy"
s00193,Movie,Moonlight Dreams 1454,Steven Spielberg,"Actor A, Actor C, Actor D",France,5/26/2019,1960,87,A thrilling adventure about discovery.,"Drama, Action"
s00194,Movie,Moonlight Dreams 1309,Quentin Tarantino,"Actor E, Actor C",United States,8/12/2019,1993,94,A romantic tale set in a distant land.,"Action, Romance"
s00195,Movie,Desert Winds 2001,nan,Actor B,Germany,11/9/2015,1964,68,A comedy that will make you laugh.,"Comedy, Action, Documentary"
s00196,TV Show,Family Ties,nan,"Actor B, Actor E, Actor A",nan,4/9/2019,2006,2 Season(s),A heartwarming story of friendship.,"Documentary, Drama"
s00197,TV Show,Undercover,James Cameron,,Germany,5/1/2014,1987,4 Season(s),A mystery that will keep you guessing.,"Drama, Sci-Fi"
s00198,TV Show,Mystery Valley,James Cameron,"Actor B, Actor C, Actor D, Actor A",United States,8/6/2012,1989,1 Season(s),A family movie for all ages.,Drama
s00199,TV Show,Legal Minds,John Smith,Actor E,Canada,5/1/2020,1977,7 Season(s),A sci-fi exploration of future technology.,"Children & Family, Action"
s00200,Movie,Urban Legends 887,nan,"Actor B, Actor A",France,9/3/2021,1990,88,A romantic tale set in a distant land.,"Children & Family, Sci-Fi, Action"
s00201,Movie,Neon Nights 884,James Cameron,"Actor A, Actor E, Actor B, Actor D",Australia,12/2/2013,2015,151,A romantic tale set in a distant land.,"Thriller, Romance"
s00202,Movie,Moonlight Dreams 1711,John Smith,,United States,12/26/2018,2022,93,An action-packed thriller.,"Action, Sci-Fi, Horror"
s00203,TV Show,Medical Heroes,nan,,India,6/15/2012,2013,8 Season(s),A heartwarming story of friendship.,"Thriller, Children & Family"
s00204,Movie,Broken Chains 1046,Christopher Nolan,"Actor A, Actor B, Actor E, Actor C",India,1/6/2022,1993,92,A romantic tale set in a distant land.,"Action, Sci-Fi"
s00205,Movie,Neon Nights 1563,Christopher Nolan,"Actor A, Actor E, Actor D, Actor B",United States,11/3/2012,1996,86,An action-packed thriller.,"Drama, Sci-Fi, Children & Family"
s00206,Movie,Cyber Revolution 849,David Lee,Actor D,United Kingdom,11/15/2020,1996,102,A comedy that will make you laugh.,"Comedy, Action"
s00207,Movie,Silent Forest 1464,nan,"Actor D, Actor B",India,5/4/2017,2008,92,A romantic tale set in a distant land.,"Horror, Romance, Documentary"
s00208,Movie,Urban Legends 2000,Quentin Tarantino,"Actor D, Actor C",Australia,1/2/2018,1980,90,A mystery that will keep you guessing.,"Comedy, Action, Drama"
s00209,Movie,Ocean Mysteries 1979,John Smith,"Actor A, Actor D",Mexico,1/28/2016,2021,66,A thrilling adventure about discovery.,Comedy
s00210,Movie,Broken Chains 1798,John Smith,"Actor E, Actor A",Japan,11/12/2014,1976,90,A sci-fi exploration of future technology.,"Action, Sci-Fi"
s00211,Movie,Final Frontier 1977,John Smith,,United Kingdom,12/14/2021,2017,90,A comedy that will make you laugh.,"Drama, Horror"
s00212,Movie,Ocean Mysteries 1411,David Lee,"Actor A, Actor C, Actor B",United States,4/20/2018,1965,87,A family movie for all ages.,Romance
s00213,Movie,The Last Adventure 570,John Smith,"Actor E, Actor C",nan,2/3/2019,2014,94,A heartwarming story of friendship.,"Drama, Action"
s00214,TV Show,Beyond Borders,John Smith,Actor D,nan,11/21/2012,2004,4 Season(s),A heartwarming story of friendship.,"Documentary, Children & Family, Horror"
s00215,Movie,Mountain Echo 1551,John Smith,"Actor D, Actor C, Actor E",Mexico,10/3/2017,1997,100,A heartwarming story of friendship.,"Documentary, Thriller, Sci-Fi"
s00216,Movie,Moonlight Dreams 1981,Maria Garcia,"Actor E, Actor D, Actor A",Germany,7/18/2016,2006,93,A mystery that will keep you guessing.,Horror
s00217,TV Show,Family Ties,Maria Garcia,"Actor C, Actor E, Actor B, Actor D",United Kingdom,10/10/2021,1986,1 Season(s),A comedy that will make you laugh.,"Action, Comedy, Documentary"
s00218,Movie,Starlight Journey 793,nan,,Australia,,1998,176,A romantic tale set in a distant land.,"Comedy, Action, Thriller"
s00219,TV Show,Space Explorers,Christopher Nolan,"Actor C, Actor D",India,3/28/2019,2004,3 Season(s),A mystery that will keep you guessing.,"Horror, Romance, Action"
s00220,Movie,Silent Forest 1810,nan,"Actor E, Actor A",United Kingdom,,1994,85,An action-packed thriller.,"Documentary, Horror"
s00221,Movie,Urban Legends 492,nan,,Spain,11/11/2022,1970,125,A heartwarming story of friendship.,"Drama, Documentary, Comedy"
s00222,Movie,Wild Expedition 1563,James Cameron,"Actor C, Actor E, Actor A, Actor D",United States,6/18/2010,1994,92,A family movie for all ages.,Children & Family
s00223,Movie,Time Paradox 1084,John Smith,"Actor B, Actor E, Actor A",United States,6/22/2013,1994,91,An action-packed thriller.,"Drama, Action, Comedy"
s00224,Movie,Lost Kingdom 985,John Smith,Actor E,India,2/1/2016,1978,164,A sci-fi exploration of future technology.,"Comedy, Thriller"
s00225,Movie,Starlight Journey 1629,Quentin Tarantino,"Actor C, Actor E, Actor A",India,,1972,87,A romantic tale set in a distant land.,Drama
s00226,TV Show,Undercover,Jane Doe,"Actor E, Actor A",South Korea,10/22/2021,2002,2 Season(s),A romantic tale set in a distant land.,"Action, Thriller"
s00227,Movie,Time Paradox 591,Christopher Nolan,,United States,7/12/2012,1986,144,An intense drama about life choices.,Romance
s00228,TV Show,Family Ties,James Cameron,"Actor C, Actor B, Actor D",United States,3/17/2021,1965,3 Season(s),A family movie for all ages.,"Action, Drama, Thriller"
s00229,Movie,Lost Kingdom 1586,nan,"Actor C, Actor A, Actor B, Actor E",United States,6/6/2019,1970,92,A mystery that will keep you guessing.,Romance
s00230,TV Show,Beyond Borders,James Cameron,Actor D,United States,12/5/2015,2012,7 Season(s),A mystery that will keep you guessing.,"Romance, Thriller"
s00231,Movie,Secret Agent X 387,nan,Actor A,United States,11/8/2015,1998,92,A documentary about nature.,Thriller
s00232,Movie,Silent Forest 693,Maria Garcia,"Actor E, Actor D, Actor B, Actor A",France,12/2/2021,1989,85,A sci-fi exploration of future technology.,Action
s00233,Movie,Cyber Revolution 916,nan,"Actor C, Actor B, Actor E",India,3/10/2014,1984,153,A heartwarming story of friendship.,"Action, Documentary"
s00234,Movie,Lost Kingdom 527,Maria Garcia,"Actor D, Actor C",Germany,1/12/2016,2016,91,An intense drama about life choices.,Drama
s00235,TV Show,Mystery Valley,Christopher Nolan,"Actor D, Actor E, Actor C",nan,9/4/2014,1989,6 Season(s),An action-packed thriller.,Action
s00236,Movie,Lost Kingdom 455,David Lee,,France,2/12/2014,2008,93,A romantic tale set in a distant land.,"Sci-Fi, Drama"
s00237,Movie,Starlight Journey 1918,Christopher Nolan,"Actor A, Actor E, Actor D",United States,12/12/2021,2018,88,A documentary about nature.,"Romance, Drama, Comedy"
s00238,Movie,Silent Forest 1876,John Smith,,United States,4/24/2010,1974,128,A documentary about nature.,"Action, Romance, Comedy"
s00239,Movie,Desert Winds 521,nan,,South Korea,11/13/2021,2003,76,A sci-fi exploration of future technology.,Comedy
s00240,TV Show,Medical Heroes,Steven Spielberg,,India,8/20/2019,1973,5 Season(s),A thrilling adventure about discovery.,"Action, Comedy"
s00241,TV Show,Space Explorers,Jane Doe,"Actor A, Actor E, Actor B",Australia,,2007,4 Season(s),A romantic tale set in a distant land.,"Sci-Fi, Action, Thriller"
s00242,TV Show,Mystery Valley,nan,"Actor B, Actor C, Actor D",South Korea,5/15/2017,2006,6 Season(s),A mystery that will keep you guessing.,"Drama, Thriller"
s00243,Movie,Moonlight Dreams 1368,nan,Actor A,Mexico,,1975,67,An action-packed thriller.,Action
s00244,Movie,Time Paradox 395,David Lee,"Actor C, Actor E, Actor B, Actor D",Mexico,4/4/2018,2007,60,A heartwarming story of friendship.,"Sci-Fi, Thriller, Action"
s00245,TV Show,Space Explorers,James Cameron,"Actor B, Actor E, Actor D",Canada,9/15/2012,1986,5 Season(s),A heartwarming story of friendship.,Drama
s00246,Movie,Digital Ghost 721,David Lee,"Actor E, Actor A",United Kingdom,5/22/2021,2014,96,A family movie for all ages.,"Drama, Children & Family"
s00247,TV Show,Space Explorers,James Cameron,"Actor D, Actor B, Actor E, Actor C",nan,11/22/2021,1992,5 Season(s),A thrilling adventure about discovery.,"Drama, Sci-Fi"
s00248,TV Show,Undercover,nan,"Actor A, Actor B",India,6/24/2013,2009,5 Season(s),A sci-fi exploration of future technology.,"Children & Family, Action"
s00249,TV Show,Tech Wars,nan,"Actor B, Actor D",United States,7/15/2015,2010,5 Season(s),A heartwarming story of friendship.,"Romance, Sci-Fi, Drama"
s00250,Movie,Hidden Truth 1390,nan,"Actor D, Actor E",Japan,9/20/2021,1991,111,An intense drama about life choices.,"Sci-Fi, Children & Family"
s00251,Movie,Urban Legends 607,nan,"Actor A, Actor C",Canada,,1997,71,A heartwarming story of friendship.,"Thriller, Documentary"
s00252,TV Show,Medical Heroes,Christopher Nolan,Actor A,South Korea,9/17/2014,2017,4 Season(s),A comedy that will make you laugh.,Sci-Fi
s00253,Movie,Neon Nights 1325,nan,,France,,1977,76,An intense drama about life choices.,"Drama, Action, Sci-Fi"
s00254,Movie,The Last Adventure 102,nan,"Actor C, Actor D, Actor A, Actor B",United Kingdom,6/21/2016,1993,91,An action-packed thriller.,Thriller
s00255,Movie,Echoes of Yesterday 1416,Christopher Nolan,"Actor E, Actor C, Actor B",nan,9/14/2014,1981,62,A family movie for all ages.,"Drama, Romance"
s00256,TV Show,Family Ties,nan,,Australia,10/20/2021,1961,5 Season(s),A heartwarming story of friendship.,Action
s00257,Movie,Final Frontier 1112,James Cameron,"Actor E, Actor D",Japan,3/15/2014,2002,113,A mystery that will keep you guessing.,Documentary
s00258,Movie,Echoes of Yesterday 401,David Lee,"Actor C, Actor A, Actor B",United States,10/3/2014,1972,173,An intense drama about life choices.,Comedy
s00259,Movie,Silent Forest 889,nan,Actor D,United Kingdom,10/5/2012,1998,94,A family movie for all ages.,Sci-Fi
s00260,Movie,Lost Kingdom 1696,David Lee,"Actor D, Actor B, Actor A, Actor C",France,10/20/2015,1966,82,A documentary about nature.,"Comedy, Drama"
s00261,TV Show,Legal Minds,Christopher Nolan,Actor A,United States,2/20/2017,1960,7 Season(s),A comedy that will make you laugh.,Action
s00262,Movie,Wild Expedition 1334,Maria Garcia,"Actor E, Actor C, Actor B, Actor A",United States,10/19/2010,1973,149,A comedy that will make you laugh.,Documentary
s00263,Movie,Broken Chains 673,Maria Garcia,Actor C,Spain,12/7/2015,1991,89,An action-packed thriller.,"Romance, Documentary"
s00264,TV Show,Tech Wars,nan,"Actor C, Actor A, Actor E, Actor B",India,8/20/2017,2010,4 Season(s),An intense drama about life choices.,"Action, Drama, Thriller"
s00265,TV Show,Space Explorers,John Smith,Actor B,India,9/8/2014,1993,7 Season(s),A mystery that will keep you guessing.,Action
s00266,Movie,Hidden Truth 1889,Jane Doe,,United States,,2008,89,A thrilling adventure about discovery.,"Children & Family, Drama"
s00267,TV Show,Tech Wars,nan,,India,1/1/2021,1994,1 Season(s),A mystery that will keep you guessing.,Romance
s00268,Movie,The Last Adventure 801,John Smith,"Actor C, Actor B",Germany,4/7/2014,1967,110,A family movie for all ages.,Horror
s00269,Movie,Echoes of Yesterday 1997,David Lee,"Actor D, Actor B",United States,7/24/2012,1975,118,A heartwarming story of friendship.,"Drama, Comedy"
s00270,TV Show,Medical Heroes,David Lee,,United States,8/23/2017,1997,3 Season(s),A romantic tale set in a distant land.,"Sci-Fi, Comedy"
s00271,TV Show,Mystery Valley,nan,,France,11/13/2019,1994,2 Season(s),An action-packed thriller.,"Action, Children & Family, Documentary"
s00272,TV Show,Undercover,Maria Garcia,"Actor B, Actor A, Actor D",nan,1/21/2017,1974,4 Season(s),A romantic tale set in a distant land.,Action
s00273,TV Show,Beyond Borders,Maria Garcia,"Actor E, Actor D",Japan,,1990,2 Season(s),An intense drama about life choices.,"Action, Romance"
s00274,Movie,Secret Agent X 194,Steven Spielberg,"Actor B, Actor D, Actor E, Actor A",United States,7/23/2011,2008,85,A thrilling adventure about discovery.,"Action, Horror, Thriller"
s00275,Movie,Mountain Echo 871,Steven Spielberg,"Actor A, Actor B, Actor D",United Kingdom,5/17/2017,2020,90,A comedy that will make you laugh.,"Drama, Romance, Documentary"
s00276,TV Show,Tech Wars,Steven Spielberg,Actor A,South Korea,2/4/2022,2000,5 Season(s),A comedy that will make you laugh.,"Comedy, Romance, Sci-Fi"
s00277,Movie,Lost Kingdom 122,Steven Spielberg,Actor E,United States,2/4/2018,1993,136,A documentary about nature.,Sci-Fi
s00278,TV Show,Tech Wars,David Lee,,Japan,10/18/2012,2018,3 Season(s),A family movie for all ages.,"Thriller, Comedy, Action"
s00279,TV Show,Legal Minds,nan,,India,10/5/2014,1995,6 Season(s),A family movie for all ages.,"Thriller, Romance, Comedy"
s00280,TV Show,Tech Wars,Maria Garcia,"Actor B, Actor C, Actor A, Actor D",United States,7/17/2022,2021,1 Season(s),A mystery that will keep you guessing.,Children & Family
s00281,Movie,Future Shock 887,nan,"Actor D, Actor A",Australia,8/23/2021,1963,91,A family movie for all ages.,Sci-Fi
s00282,Movie,Silent Forest 1329,nan,Actor E,Spain,9/7/2021,1976,117,A mystery that will keep you guessing.,"Thriller, Action"
s00283,Movie,Time Paradox 1995,nan,,France,8/14/2019,1985,163,A mystery that will keep you guessing.,"Thriller, Romance"
s00284,Movie,Cyber Revolution 635,David Lee,"Actor A, Actor D, Actor C, Actor E",United States,5/8/2020,2018,137,A heartwarming story of friendship.,Action
s00285,Movie,Mountain Echo 9,Maria Garcia,,United States,7/18/2022,2018,92,An action-packed thriller.,"Documentary, Romance"
s00286,Movie,Mountain Echo 1097,John Smith,"Actor E, Actor A, Actor D, Actor B",Canada,,2017,92,A romantic tale set in a distant land.,"Comedy, Action"
s00287,Movie,Secret Agent X 223,Christopher Nolan,"Actor A, Actor D",Canada,11/26/2016,1971,113,A heartwarming story of friendship.,"Sci-Fi, Documentary, Action"
s00288,Movie,Echoes of Yesterday 1394,Jane Doe,Actor E,United States,10/15/2020,1971,176,A thrilling adventure about discovery.,"Documentary, Sci-Fi"
s00289,Movie,Silent Forest 1288,nan,,United States,1/13/2022,2010,86,A thrilling adventure about discovery.,Sci-Fi
s00290,Movie,Time Paradox 1714,nan,"Actor C, Actor B, Actor A",United States,1/15/2010,1962,88,A thrilling adventure about discovery.,"Drama, Comedy"
s00291,Movie,Broken Chains 1342,Quentin Tarantino,"Actor B, Actor A",nan,,1968,89,A comedy that will make you laugh.,Drama
s00292,TV Show,Legal Minds,John Smith,Actor B,Germany,4/24/2018,1995,3 Season(s),A comedy that will make you laugh.,"Comedy, Drama"
s00293,Movie,Secret Agent X 459,nan,Actor A,Mexico,11/24/2011,2001,89,An action-packed thriller.,"Action, Documentary, Children & Family"
s00294,Movie,Broken Chains 208,Christopher Nolan,"Actor D, Actor A",United States,4/9/2016,1992,111,A thrilling adventure about discovery.,"Sci-Fi, Drama"
s00295,Movie,Desert Winds 1414,Jane Doe,"Actor E, Actor A, Actor C",nan,1/23/2017,2019,69,An intense drama about life choices.,Documentary
s00296,TV Show,Tech Wars,nan,,United States,9/2/2021,1996,6 Season(s),An intense drama about life choices.,Sci-Fi
s00297,Movie,Cyber Revolution 1151,John Smith,,India,4/20/2020,1989,171,A documentary about nature.,"Thriller, Action, Horror"
s00298,Movie,Echoes of Yesterday 1724,Christopher Nolan,"Actor D, Actor B, Actor C, Actor A",Australia,8/12/2020,1999,88,A heartwarming story of friendship.,"Drama, Action"
s00299,Movie,Future Shock 14,Maria Garcia,"Actor E, Actor A, Actor D",United Kingdom,2/2/2019,2006,74,A romantic tale set in a distant land.,"Drama, Action"
s00300,Movie,Neon Nights 978,nan,"Actor D, Actor A, Actor C, Actor E",India,,1992,94,A comedy that will make you laugh.,Drama
s00301,Movie,Silent Forest 87,Maria Garcia,,United States,9/12/2010,2006,88,A family movie for all ages.,"Comedy, Action, Thriller"
s00302,Movie,Silent Forest 909,Quentin Tarantino,Actor C,United States,12/16/2012,1990,122,A romantic tale set in a distant land.,"Romance, Thriller, Documentary"
s00303,Movie,Digital Ghost 1267,Jane Doe,Actor E,Japan,5/25/2020,1985,87,A sci-fi exploration of future technology.,"Horror, Romance"
s00304,TV Show,Tech Wars,John Smith,"Actor E, Actor C, Actor A",France,,1975,6 Season(s),An action-packed thriller.,Drama
s00305,TV Show,Family Ties,Maria Garcia,Actor D,Germany,9/23/2015,2001,5 Season(s),An action-packed thriller.,"Action, Documentary"
s00306,Movie,Lost Kingdom 1380,nan,"Actor B, Actor A",Canada,12/13/2020,1987,103,A thrilling adventure about discovery.,"Action, Thriller"
s00307,Movie,Digital Ghost 1928,Christopher Nolan,Actor C,Japan,6/6/2011,2008,87,An intense drama about life choices.,Action
s00308,TV Show,Undercover,nan,"Actor B, Actor D, Actor A",United States,8/8/2013,1992,3 Season(s),A thrilling adventure about discovery.,"Action, Thriller, Comedy"
s00309,Movie,Final Frontier 1836,Christopher Nolan,"Actor E, Actor A",United States,1/2/2017,2011,86,A romantic tale set in a distant land.,Drama
s00310,Movie,Hidden Truth 1990,Jane Doe,"Actor A, Actor E",nan,12/25/2013,1961,94,An intense drama about life choices.,"Documentary, Comedy"
s00311,Movie,Hidden Truth 1747,Christopher Nolan,Actor D,United States,7/8/2015,1976,87,A thrilling adventure about discovery.,Action
s00312,Movie,Ocean Mysteries 1376,Jane Doe,,France,6/5/2012,1981,74,A romantic tale set in a distant land.,Comedy
s00313,TV Show,Space Explorers,Maria Garcia,"Actor E, Actor D",United States,10/20/2021,2012,3 Season(s),A sci-fi exploration of future technology.,"Action, Comedy"
s00314,TV Show,Mystery Valley,Maria Garcia,"Actor C, Actor D",Spain,7/24/2022,2020,8 Season(s),A documentary about nature.,Thriller
s00315,Movie,Cyber Revolution 924,Steven Spielberg,,Spain,,1993,176,A heartwarming story of friendship.,"Comedy, Action"
s00316,Movie,Future Shock 755,David Lee,"Actor D, Actor B, Actor C",United States,5/18/2015,1990,112,A documentary about nature.,"Documentary, Action"
s00317,Movie,Cyber Revolution 445,Christopher Nolan,,United States,12/15/2015,1978,71,A sci-fi exploration of future technology.,Action
s00318,Movie,Urban Legends 353,nan,"Actor E, Actor A, Actor D",France,11/26/2018,1969,156,A documentary about nature.,Horror
s00319,Movie,Secret Agent X 1356,nan,"Actor D, Actor A, Actor B, Actor E",United Kingdom,1/21/2018,2020,66,A family movie for all ages.,"Comedy, Children & Family, Drama"
s00320,Movie,Starlight Journey 862,Jane Doe,,United States,6/11/2015,1982,62,A comedy that will make you laugh.,"Sci-Fi, Documentary, Drama"
s00321,TV Show,Undercover,Maria Garcia,"Actor A, Actor E",Spain,,1974,3 Season(s),A comedy that will make you laugh.,"Romance, Comedy, Children & Family"
s00322,Movie,Broken Chains 805,Jane Doe,Actor A,United States,1/9/2013,1982,154,A family movie for all ages.,"Action, Children & Family"
s00323,Movie,Desert Winds 732,Christopher Nolan,"Actor B, Actor A, Actor C",South Korea,6/13/2021,2004,130,A comedy that will make you laugh.,Action
s00324,TV Show,Beyond Borders,Jane Doe,"Actor D, Actor C",India,11/9/2021,1998,3 Season(s),A romantic tale set in a distant land.,"Thriller, Drama"
s00325,TV Show,Medical Heroes,nan,Actor D,United States,11/12/2019,1977,6 Season(s),A comedy that will make you laugh.,"Sci-Fi, Comedy"
s00326,Movie,Broken Chains 956,Maria Garcia,,France,12/18/2012,1986,178,An action-packed thriller.,"Sci-Fi, Drama"
s00327,Movie,Hidden Truth 1713,Steven Spielberg,"Actor A, Actor B, Actor D, Actor C",India,1/19/2012,1996,120,An action-packed thriller.,Drama
s00328,Movie,Final Frontier 608,nan,"Actor B, Actor D",United States,7/28/2013,1998,112,An intense drama about life choices.,"Drama, Comedy"
s00329,Movie,Echoes of Yesterday 420,Maria Garcia,,India,5/21/2021,1966,150,A mystery that will keep you guessing.,"Documentary, Drama"
s00330,Movie,Moonlight Dreams 1536,nan,"Actor A, Actor B, Actor C",United States,,1969,175,A sci-fi exploration of future technology.,"Thriller, Drama, Documentary"
s00331,TV Show,Beyond Borders,Maria Garcia,,United States,12/17/2011,1993,8 Season(s),An action-packed thriller.,"Documentary, Comedy"
s00332,Movie,Moonlight Dreams 335,Maria Garcia,"Actor D, Actor C, Actor E",United States,6/17/2011,1998,102,A heartwarming story of friendship.,"Drama, Romance, Documentary"
s00333,Movie,Moonlight Dreams 932,Steven Spielberg,"Actor E, Actor D, Actor C, Actor B",United Kingdom,4/9/2018,2004,90,An intense drama about life choices.,"Horror, Comedy, Romance"
s00334,Movie,Mountain Echo 295,Steven Spielberg,"Actor D, Actor C, Actor B, Actor E",United States,1/6/2016,1966,169,A family movie for all ages.,"Romance, Comedy, Drama"
s00335,Movie,Future Shock 755,nan,,France,,1994,93,A sci-fi exploration of future technology.,"Romance, Children & Family"
s00336,TV Show,Family Ties,Quentin Tarantino,"Actor D, Actor A, Actor E",France,11/6/2022,1980,1 Season(s),A sci-fi exploration of future technology.,"Thriller, Action"
s00337,TV Show,Tech Wars,nan,,India,3/23/2010,1980,1 Season(s),A family movie for all ages.,"Sci-Fi, Thriller"
s00338,Movie,Silent Forest 1667,Maria Garcia,"Actor E, Actor B, Actor C, Actor D",Germany,3/28/2012,2005,89,A mystery that will keep you guessing.,"Comedy, Action"
s00339,Movie,Digital Ghost 530,Steven Spielberg,,Australia,3/10/2013,1965,135,A documentary about nature.,"Children & Family, Romance, Documentary"
s00340,Movie,Time Paradox 21,Christopher Nolan,"Actor A, Actor E",Canada,4/24/2011,2014,93,A documentary about nature.,Romance
s00341,Movie,Urban Legends 1761,Quentin Tarantino,,Japan,7/18/2016,2020,88,A thrilling adventure about discovery.,"Action, Drama"
s00342,Movie,Cyber Revolution 794,nan,,United States,6/19/2019,1963,169,A thrilling adventure about discovery.,"Comedy, Action, Romance"
s00343,Movie,Time Paradox 100,John Smith,"Actor E, Actor B, Actor A",South Korea,10/13/2013,2021,87,An intense drama about life choices.,"Action, Romance"
s00344,Movie,Wild Expedition 478,Jane Doe,,United States,1/22/2015,1993,76,A thrilling adventure about discovery.,Romance
s00345,Movie,Future Shock 940,Jane Doe,"Actor B, Actor C",United Kingdom,1/8/2019,2004,94,A thrilling adventure about discovery.,Thriller
s00346,Movie,Lost Kingdom 334,Steven Spielberg,"Actor A, Actor D, Actor E",Spain,2/16/2011,1984,86,A family movie for all ages.,"Thriller, Drama"
s00347,Movie,Moonlight Dreams 375,John Smith,"Actor E, Actor B, Actor D",United States,6/26/2012,1974,78,A documentary about nature.,Comedy
s00348,Movie,Ocean Mysteries 837,Steven Spielberg,Actor A,United States,4/26/2021,2007,85,A thrilling adventure about discovery.,"Comedy, Action"
s00349,Movie,Mountain Echo 1005,nan,"Actor A, Actor D, Actor C, Actor B",Canada,,1996,114,An action-packed thriller.,Drama
s00350,Movie,Echoes of Yesterday 318,Jane Doe,"Actor A, Actor B, Actor C, Actor E",Canada,7/15/2017,1995,171,A heartwarming story of friendship.,"Comedy, Drama, Action"
s00351,TV Show,Medical Heroes,Jane Doe,"Actor A, Actor B, Actor E, Actor C",Spain,6/23/2011,1993,4 Season(s),An action-packed thriller.,Thriller
s00352,Movie,Urban Legends 14,John Smith,"Actor B, Actor C, Actor D, Actor A",Australia,3/7/2016,1976,175,A mystery that will keep you guessing.,Sci-Fi
s00353,Movie,Secret Agent X 2009,John Smith,"Actor A, Actor B, Actor D",United States,12/16/2017,1983,62,An action-packed thriller.,"Action, Thriller, Drama"
s00354,Movie,Broken Chains 130,nan,"Actor E, Actor A, Actor D",United States,6/2/2016,1966,69,An intense drama about life choices.,"Action, Sci-Fi, Comedy"
s00355,Movie,Secret Agent X 838,Maria Garcia,"Actor D, Actor E, Actor B",France,11/9/2021,1962,74,A thrilling adventure about discovery.,"Drama, Horror"
s00356,Movie,Starlight Journey 891,Christopher Nolan,,United Kingdom,11/5/2010,2009,94,A thrilling adventure about discovery.,"Documentary, Drama"
s00357,Movie,Moonlight Dreams 1187,David Lee,"Actor B, Actor E, Actor D",Japan,8/7/2012,1996,103,A family movie for all ages.,"Romance, Drama, Thriller"
s00358,TV Show,Undercover,Steven Spielberg,Actor E,United States,7/15/2021,1994,7 Season(s),A romantic tale set in a distant land.,"Sci-Fi, Action"
s00359,Movie,Ocean Mysteries 1473,Christopher Nolan,"Actor C, Actor D, Actor A, Actor B",India,7/6/2018,1973,115,A mystery that will keep you guessing.,Thriller
s00360,Movie,Time Paradox 460,nan,Actor D,India,3/1/2011,1993,149,An action-packed thriller.,"Comedy, Drama, Sci-Fi"
s00361,Movie,Desert Winds 301,nan,,Canada,5/25/2022,2003,145,A romantic tale set in a distant land.,"Sci-Fi, Action"
s00362,Movie,Urban Legends 287,nan,"Actor E, Actor A",India,12/19/2014,1990,171,A sci-fi exploration of future technology.,"Children & Family, Horror"
s00363,Movie,Neon Nights 1034,John Smith,Actor E,India,2/21/2021,1996,69,A heartwarming story of friendship.,"Drama, Action"
s00364,TV Show,Family Ties,Maria Garcia,Actor E,United Kingdom,8/15/2017,1998,8 Season(s),A heartwarming story of friendship.,Sci-Fi
s00365,Movie,Lost Kingdom 592,Steven Spielberg,Actor A,United States,,1987,94,A documentary about nature.,"Romance, Action, Drama"
s00366,TV Show,Tech Wars,Quentin Tarantino,"Actor B, Actor A",United States,6/4/2016,1976,3 Season(s),A thrilling adventure about discovery.,"Documentary, Action"
s00367,TV Show,Undercover,nan,,India,12/3/2015,1972,3 Season(s),A documentary about nature.,"Thriller, Action"
s00368,Movie,Future Shock 844,Jane Doe,"Actor A, Actor B",United Kingdom,6/16/2016,1975,78,A family movie for all ages.,Action
s00369,Movie,Echoes of Yesterday 1281,nan,,India,1/6/2010,1970,65,A mystery that will keep you guessing.,"Action, Comedy, Thriller"
s00370,Movie,Ocean Mysteries 1300,nan,Actor A,United Kingdom,12/23/2022,1992,106,A mystery that will keep you guessing.,Comedy
s00371,Movie,Time Paradox 1707,Steven Spielberg,Actor E,France,7/15/2021,1998,64,A sci-fi exploration of future technology.,"Action, Sci-Fi, Comedy"
s00372,Movie,Silent Forest 513,Maria Garcia,"Actor C, Actor B, Actor D, Actor E",South Korea,11/16/2010,1972,125,An intense drama about life choices.,Horror
s00373,Movie,Broken Chains 1308,David Lee,"Actor B, Actor E, Actor D, Actor A",United States,3/27/2021,2015,88,A mystery that will keep you guessing.,Documentary
s00374,Movie,Neon Nights 1957,Quentin Tarantino,"Actor D, Actor A, Actor E",United States,2/17/2021,1966,147,A mystery that will keep you guessing.,"Comedy, Drama"
s00375,Movie,Urban Legends 1228,nan,,United States,6/13/2010,1972,150,A mystery that will keep you guessing.,"Horror, Romance, Children & Family"
